,circle,rectangle,no_shape,total,truth,accuracy
circle,260,0,10,270,270,96%
rectangle,31,840,47,918,920,91%
diamond,1,1,538,540,544,98%
ellipse,274,14,355,643,643,42%
parallelogram,34,536,292,862,865,94%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,201,2245,68479,70925,70925,96%
total,801,3636,72751,154376,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', ./__datasets__/FC_1.0/no_text/FC_Validation.txt]
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: one_class_svm
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices, standard_deviation_to_template_with_vertical_lines, standard_deviation_to_template_with_horizontal_lines,directional_clusters
# hellinger distance features: is_closed_shape, closed_convex_hull, nearest_point_for_everey_edge_point
