,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,31,347,0,378,91%
diamond,9,191,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,21,319,16,356,93%
line,6,189,1079,1274,84%
double circle,0,0,0,0,-
no_shape,271,6330,18156,24757,73%
total,639,7451,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
