,circle,rectangle,no_shape,total,accuracy
circle,111,1,0,112,99%
rectangle,50,220,0,270,81%
diamond,95,30,0,125,0%
ellipse,251,1,0,252,99%
parallelogram,32,228,0,260,87%
line,7,2,1182,1191,99%
double circle,0,0,0,0,-
no_shape,109,261,5980,6350,94%
total,655,743,7162,17120,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesaverage_distance_to_template_with_vertical_linesaverage_distance_to_template_with_horizontal_lines
