,circle,rectangle,no_shape,total,truth,accuracy
circle,259,0,11,270,270,95%
rectangle,0,907,11,918,920,98%
diamond,0,0,540,540,544,99%
ellipse,639,0,4,643,643,99%
parallelogram,0,0,862,862,865,99%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,54312,54312,70925,76%
total,898,907,58770,121150,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# rejector threshold: 0.7
