,circle,rectangle,no_shape,total,truth,accuracy
circle,109,0,3,112,112,97%
rectangle,15,250,0,265,380,65%
diamond,116,47,0,163,224,0%
ellipse,227,0,1,228,265,85%
parallelogram,3,186,0,189,356,52%
line,0,1,1230,1231,1335,92%
double circle,0,0,0,0,0,-
no_shape,101,1183,20042,21326,21326,93%
total,571,1667,21276,47028,23998,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: thesis_grouper
# classifier: linear_svm
# rejectors: ['[rejector_with_threshold]']
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
