,circle,rectangle,no_shape,total,truth,accuracy
circle,152,0,118,270,270,56%
rectangle,0,752,166,918,920,81%
diamond,0,0,540,540,544,99%
ellipse,563,0,80,643,643,87%
parallelogram,0,0,862,862,865,99%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,57292,57292,70925,80%
total,715,752,62088,127110,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
# rejector threshold: 0.30000000000000004
