,circle,rectangle,no_shape,total,accuracy
circle,101,11,0,112,90%
rectangle,44,334,0,378,88%
diamond,17,183,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,37,303,16,356,89%
line,23,172,1079,1274,84%
double circle,0,0,0,0,-
no_shape,463,6138,18156,24757,73%
total,892,7198,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
