,circle,rectangle,no_shape,total,accuracy
circle,112,0,0,112,100%
rectangle,9,262,0,271,96%
diamond,10,115,0,125,0%
ellipse,245,7,0,252,97%
parallelogram,4,256,0,260,98%
line,0,9,1182,1191,99%
double circle,0,0,0,0,-
no_shape,4,365,5981,6350,94%
total,384,1014,7163,17122,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesaverage_distance_to_template_with_vertical_linesaverage_distance_to_template_with_horizontal_lines
