,circle,rectangle,no_shape,total,accuracy
circle,100,12,0,112,89%
rectangle,41,337,0,378,89%
diamond,16,184,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,37,303,16,356,89%
line,23,172,1079,1274,84%
double circle,0,0,0,0,-
no_shape,440,6161,18156,24757,73%
total,861,7229,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
