,circle,rectangle,no_shape,total,truth,accuracy
circle,270,0,0,270,270,100%
rectangle,0,916,0,916,920,99%
diamond,0,0,538,538,544,98%
ellipse,643,0,0,643,643,100%
parallelogram,0,0,859,859,865,99%
line,0,0,3021,3021,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,46540,46540,46540,100%
total,913,916,50958,105574,53016,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: /
# shape no shape features: 
# circle rectangle features: 
# distance parameter: 600
# run time: 0.11 seconds
# recognizer calls: 52787
