,circle,rectangle,no_shape,total,truth,accuracy
circle,112,0,0,112,112,100%
rectangle,6,243,20,269,380,63%
diamond,8,111,5,124,224,2%
ellipse,242,2,8,252,265,91%
parallelogram,2,248,9,259,356,71%
line,0,7,1168,1175,1335,87%
double circle,0,0,0,0,0,-
no_shape,8,384,6084,6476,6476,93%
total,378,995,7294,17334,9148,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
rejector_threshold: 0.53
