,circle,rectangle,no_shape,total,accuracy
circle,98,14,0,112,87%
rectangle,35,343,0,378,90%
diamond,11,189,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,25,315,16,356,92%
line,9,186,1079,1274,84%
double circle,0,0,0,0,-
no_shape,321,6280,18156,24757,73%
total,703,7387,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
