,circle,rectangle,no_shape,total,truth,accuracy
circle,269,0,1,270,270,99%
rectangle,0,918,0,918,920,99%
diamond,0,0,540,540,544,99%
ellipse,643,0,0,643,643,100%
parallelogram,0,0,862,862,865,99%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,54081,54081,70925,76%
total,912,918,58514,120688,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# rejector threshold: 1.0999999999999999
