,circle,rectangle,no_shape,total,truth,accuracy
circle,270,0,0,270,270,100%
rectangle,0,745,0,745,920,80%
diamond,0,0,432,432,544,79%
ellipse,633,0,0,633,643,98%
parallelogram,0,0,666,666,865,76%
line,0,0,2867,2867,3234,88%
double circle,0,0,0,0,0,-
no_shape,0,0,31560,31560,31560,100%
total,903,745,35525,74346,38036,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# distance parameter: 200
# run time: 0.09 seconds
# recognizer calls: 37173
