,circle,rectangle,no_shape,total,accuracy
circle,100,12,0,112,89%
rectangle,43,335,0,378,88%
diamond,15,185,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,34,306,16,356,89%
line,23,172,1079,1274,84%
double circle,0,0,0,0,-
no_shape,436,6165,18156,24757,73%
total,858,7232,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
