,circle,rectangle,no_shape,total,truth,accuracy
circle,51,0,61,112,112,45%
rectangle,8,293,64,365,380,77%
diamond,11,138,25,174,224,11%
ellipse,168,2,93,263,265,63%
parallelogram,3,308,25,336,356,93%
line,0,0,1260,1260,1335,94%
double circle,0,0,0,0,0,-
no_shape,6,87,9766,9859,9859,99%
total,247,828,11294,24738,12531,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
