,circle,rectangle,no_shape,total,truth,accuracy
circle,80,0,32,112,112,71%
rectangle,8,311,32,351,380,81%
diamond,9,116,7,132,224,3%
ellipse,221,2,40,263,265,83%
parallelogram,3,309,9,321,356,88%
line,0,0,1251,1251,1335,93%
double circle,0,0,0,0,0,-
no_shape,10,161,8106,8277,8277,97%
total,331,899,9477,21414,10949,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
rejector_threshold: 0.2
