,circle,rectangle,no_shape,total,accuracy
circle,99,13,0,112,88%
rectangle,40,338,0,378,89%
diamond,13,187,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,30,310,16,356,91%
line,19,176,1079,1274,84%
double circle,0,0,0,0,-
no_shape,391,6210,18156,24757,73%
total,799,7291,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
