,circle,rectangle,no_shape,total,truth,accuracy
circle,258,0,11,269,270,95%
rectangle,28,700,11,739,920,76%
diamond,60,412,0,472,544,0%
ellipse,600,24,4,628,643,93%
parallelogram,34,674,2,710,865,77%
line,0,0,2874,2874,3234,88%
double circle,0,0,0,0,0,-
no_shape,42,639,30745,31426,240,12810%
total,1022,2449,33647,74236,6716,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_convex_hull
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirection_vectors
# rejector threshold: 0
