,circle,rectangle,no_shape,total,accuracy
circle,100,12,0,112,89%
rectangle,45,333,0,378,88%
diamond,16,184,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,38,302,16,356,88%
line,28,167,1079,1274,84%
double circle,0,0,0,0,-
no_shape,474,6127,18156,24757,73%
total,908,7182,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
