,circle,rectangle,no_shape,total,accuracy
circle,100,12,0,112,89%
rectangle,39,339,0,378,89%
diamond,15,185,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,33,307,16,356,90%
line,21,174,1079,1274,84%
double circle,0,0,0,0,-
no_shape,412,6189,18156,24757,73%
total,824,7266,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
