,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,38,340,0,378,89%
diamond,10,190,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,25,315,16,356,92%
line,9,186,1079,1274,84%
double circle,0,0,0,0,-
no_shape,332,6269,18156,24757,73%
total,718,7372,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
