,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,35,343,0,378,90%
diamond,9,191,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,21,319,16,356,93%
line,7,188,1079,1274,84%
double circle,0,0,0,0,-
no_shape,287,6314,18156,24757,73%
total,663,7427,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
