,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,30,348,0,378,92%
diamond,9,191,24,224,10%
ellipse,203,61,0,264,76%
parallelogram,18,322,16,356,94%
line,4,191,1079,1274,84%
double circle,0,0,0,0,-
no_shape,255,6346,18156,24757,73%
total,616,7474,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
