,circle,rectangle,no_shape,total,accuracy
circle,98,14,0,112,87%
rectangle,35,343,0,378,90%
diamond,13,187,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,29,311,16,356,91%
line,17,178,1079,1274,84%
double circle,0,0,0,0,-
no_shape,356,6245,18156,24757,73%
total,752,7338,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
