,circle,rectangle,no_shape,total,truth,accuracy
circle,109,0,3,112,112,97%
rectangle,14,286,0,300,380,75%
diamond,17,194,0,211,224,0%
ellipse,256,2,1,259,265,96%
parallelogram,4,303,0,307,356,85%
line,0,1,1264,1265,1335,94%
double circle,0,0,0,0,0,-
no_shape,17,141,10147,10305,10305,98%
total,417,927,11415,25518,12977,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
rejector_threshold: 0.4
