,circle,rectangle,no_shape,total,truth,accuracy
circle,112,0,0,112,112,100%
rectangle,0,110,0,110,380,28%
diamond,0,82,0,82,224,0%
ellipse,223,2,0,225,265,84%
parallelogram,0,92,0,92,356,25%
line,5,376,0,381,1335,0%
double circle,0,0,0,0,0,-
no_shape,133,4311,3,4447,4447,0%
total,473,4973,3,10898,7119,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: threshold_and_ellipse
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
