,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,34,344,0,378,91%
diamond,9,191,24,224,10%
ellipse,206,58,0,264,78%
parallelogram,19,321,16,356,94%
line,5,190,1079,1274,84%
double circle,0,0,0,0,-
no_shape,277,6324,18156,24757,73%
total,647,7443,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
