,circle,rectangle,no_shape,total,truth,accuracy
circle,270,0,0,270,270,100%
rectangle,0,918,0,918,920,99%
diamond,0,0,540,540,544,99%
ellipse,643,0,0,643,643,100%
parallelogram,0,0,862,862,865,99%
line,0,0,3031,3031,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,54697,54697,54697,100%
total,913,918,59130,121922,61173,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# distance parameter: 800
# run time: 0.11 seconds
# recognizer calls: 60961
