,circle,rectangle,no_shape,total,accuracy
circle,98,14,0,112,87%
rectangle,35,343,0,378,90%
diamond,12,188,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,28,312,16,356,91%
line,14,181,1079,1274,84%
double circle,0,0,0,0,-
no_shape,338,6263,18156,24757,73%
total,729,7361,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
