,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,34,344,0,378,91%
diamond,10,190,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,24,316,16,356,92%
line,8,187,1079,1274,84%
double circle,0,0,0,0,-
no_shape,314,6287,18156,24757,73%
total,691,7399,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
