,circle,rectangle,no_shape,total,accuracy
circle,101,11,0,112,90%
rectangle,46,332,0,378,87%
diamond,18,182,24,224,10%
ellipse,207,57,0,264,78%
parallelogram,41,299,16,356,87%
line,25,170,1079,1274,84%
double circle,0,0,0,0,-
no_shape,491,6110,18156,24757,73%
total,929,7161,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
