,circle,rectangle,no_shape,total,truth,accuracy
circle,244,0,26,270,270,90%
rectangle,0,896,22,918,920,97%
diamond,0,0,540,540,544,99%
ellipse,634,0,9,643,643,98%
parallelogram,0,0,862,862,865,99%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,54648,54648,70925,77%
total,878,896,59137,121822,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# rejector threshold: 0.6
