,circle,rectangle,no_shape,total,accuracy
circle,99,13,0,112,88%
rectangle,37,341,0,378,90%
diamond,14,186,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,32,308,16,356,90%
line,19,176,1079,1274,84%
double circle,0,0,0,0,-
no_shape,394,6207,18156,24757,73%
total,799,7291,19275,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 6
# diagonal_to_stroke_length: 50
