,circle,rectangle,no_shape,total,truth,accuracy
circle,711,0,0,711,720,98%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,1075,756,188,2019,2043,10%
double circle,1,0,0,1,342,99%
no_shape,1919,279,590,2788,53870,95%
total,3706,1035,778,11038,56975,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: Konfidenz des Klassifikators
# shape no shape features: closed_shape
# circle rectangle features: [number_of_convex_hull_vertices_to_amount_of_points_ratio, nearest_point_for_every_edge_point, number_of_convex_hull_vertices, directional_clusters, template]
# rejector threshold:
