,circle,rectangle,no_shape,total,truth,accuracy
circle,711,0,0,711,720,98%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,245,13,1768,2026,2043,87%
double circle,1,0,0,1,342,99%
no_shape,1353,727,2103,4183,53870,96%
total,2310,740,3871,13842,56975,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: hellinger_and_cosine
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_pointnumber_of_convex_hull_verticesdirectional_clustertemplate
# rejector threshold: 0
