,circle,rectangle,no_shape,total,accuracy
circle,107,2,3,112,95%
rectangle,6,368,4,378,97%
diamond,162,0,62,224,27%
ellipse,14,197,53,264,20%
parallelogram,87,236,33,356,9%
line,50,5,1219,1274,95%
double circle,0,0,0,0,-
no_shape,4328,964,19465,24757,78%
total,4754,1772,20839,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
