#dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
#grouper: optimized_grouper
#recognizer: template_matching_recognizer
               circle  rectangle  no_shape  total accuracy
circle            107          2         3    112      95%
rectangle           6        356        16    378      94%
diamond           160          0        64    224      28%
ellipse            14        196        54    264      20%
parallelogram      85        228        43    356      12%
line               50          5      1219   1274      95%
double circle       0          0         0      0        -
no_shape         3620        847     20290  24757      81%
total            4042       1634     21689  54730        0
