,circle,rectangle,no_shape,total,accuracy
circle,110,2,0,112,98%
rectangle,5,373,0,378,98%
diamond,145,55,24,224,10%
ellipse,19,245,0,264,0%
parallelogram,74,266,16,356,4%
line,119,24,1131,1274,88%
double circle,0,0,0,0,-
no_shape,2376,3950,18431,24757,74%
total,2848,4915,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
