,circle,rectangle,no_shape,total,truth,accuracy
circle,209,4,0,213,213,98%
rectangle,26,157,0,183,183,85%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,1638,1638,5148,100%
total,235,161,2055,4902,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: [number_of_convex_hull_vertices_to_amount_of_points_ratio, nearest_point_for_every_edge_point, number_of_convex_hull_vertices, directional_clusters, template, total_stroke_length_to_diagonal_length]
# rejector threshold:
