,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,0,378,0,378,100%
diamond,19,181,24,224,10%
ellipse,17,247,0,264,0%
parallelogram,15,325,16,356,4%
line,16,127,1131,1274,88%
double circle,0,0,0,0,-
no_shape,362,5964,18431,24757,74%
total,526,7237,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
