,circle,rectangle,no_shape,total,accuracy
circle,110,2,0,112,98%
rectangle,6,372,0,378,98%
diamond,200,0,24,224,10%
ellipse,19,245,0,264,7%
parallelogram,99,241,16,356,71%
line,137,6,1131,1274,88%
double circle,0,0,0,0,-
no_shape,5197,1129,18431,24757,74%
total,5768,1995,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
