,circle,rectangle,no_shape,total,accuracy
circle,112,0,0,112,100%
rectangle,236,142,0,378,37%
diamond,200,0,24,224,10%
ellipse,255,9,0,264,0%
parallelogram,280,60,16,356,4%
line,142,1,1131,1274,88%
double circle,0,0,0,0,-
no_shape,5932,394,18431,24757,74%
total,7157,606,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
