,circle,rectangle,no_shape,total,accuracy
circle,110,2,0,112,98%
rectangle,3,375,0,378,99%
diamond,61,139,24,224,10%
ellipse,19,245,0,264,7%
parallelogram,53,287,16,356,84%
line,88,55,1131,1274,88%
double circle,0,0,0,0,-
no_shape,1130,5196,18431,24757,74%
total,1464,6299,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
