,circle,rectangle,no_shape,total,accuracy
circle,111,1,0,112,99%
rectangle,163,215,0,378,56%
diamond,200,0,24,224,10%
ellipse,238,26,0,264,90%
parallelogram,205,135,16,356,41%
line,141,2,1131,1274,88%
double circle,0,0,0,0,-
no_shape,5632,694,18431,24757,74%
total,6690,1073,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
