,circle,rectangle,no_shape,total,accuracy
circle,98,14,0,112,87%
rectangle,41,337,0,378,89%
diamond,14,186,24,224,10%
ellipse,206,58,0,264,78%
parallelogram,23,317,16,356,93%
line,4,139,1131,1274,88%
double circle,0,0,0,0,-
no_shape,324,6002,18431,24757,74%
total,710,7053,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
