,circle,rectangle,no_shape,total,accuracy
circle,105,7,0,112,93%
rectangle,0,378,0,378,100%
diamond,59,141,24,224,10%
ellipse,18,246,0,264,0%
parallelogram,35,305,16,356,4%
line,41,102,1131,1274,88%
double circle,0,0,0,0,-
no_shape,884,5442,18431,24757,74%
total,1142,6621,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
