,circle,rectangle,no_shape,total,accuracy
circle,76,2,34,112,67%
rectangle,5,343,30,378,90%
diamond,159,0,65,224,29%
ellipse,4,82,178,264,67%
parallelogram,66,188,102,356,28%
line,24,3,1247,1274,97%
double circle,0,0,0,0,-
no_shape,3413,777,20567,24757,83%
total,3747,1395,22223,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
