,circle,rectangle,no_shape,total,accuracy
circle,97,15,0,112,86%
rectangle,0,378,0,378,100%
diamond,11,189,24,224,10%
ellipse,17,247,0,264,6%
parallelogram,7,333,16,356,97%
line,8,135,1131,1274,88%
double circle,0,0,0,0,-
no_shape,222,6104,18431,24757,74%
total,362,7401,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
