,circle,rectangle,no_shape,total,truth,accuracy
circle,211,2,0,213,213,99%
rectangle,66,117,0,183,183,63%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,1638,1638,5148,100%
total,277,119,2055,4902,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: amount_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_point
# False negatives: 0.1717171717171717
# False positives: 0.6181041181041181
# True negatives: 0.3181818181818182
# False positive rate: 0.6601659751037344
# False negative rate: 0.35051546391752575
# rejector with threshold: 3
