,circle,rectangle,no_shape,total,truth,accuracy
circle,176,37,0,213,213,82%
rectangle,29,154,0,183,183,84%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,0,0,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,0,0,5148,100%
total,205,191,0,792,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_ratiotemplatedirectional_clusters
# False negatives: 0.16666666666666663
# False positives: 0.9358974358974359
# True negatives: 0.0
# False positive rate: 1.0
# False negative rate: 1.0
# rejector with threshold: 3
