,circle,rectangle,no_shape,total,truth,accuracy
circle,159,54,0,213,213,74%
rectangle,50,133,0,183,183,72%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,1638,1638,5148,100%
total,209,187,2055,4902,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: template
# False negatives: 0.26262626262626265
# False positives: 0.6250971250971251
# True negatives: 0.3181818181818182
# False positive rate: 0.6626853377265239
# False negative rate: 0.45217391304347826
