,circle,rectangle,no_shape,total,truth,accuracy
circle,213,0,0,213,213,100%
rectangle,0,183,0,183,183,100%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,972,972,5148,100%
total,213,183,1389,3570,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: 
# False negatives: 0
# False positives: 4176
# True negatives: 972
# True positives: 396
# False positive rate: 0.8111888111888111
# False negative rate: 0.0
# True positive rate: 1.0
# True negative rate: 0.1888111888111888
# rejector with threshold: 1.5
