,circle,rectangle,no_shape,total,truth,accuracy
circle,13,0,200,213,213,6%
rectangle,0,57,126,183,183,31%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,4582,4582,5148,100%
total,13,57,5325,10790,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: one_class_svm
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_point
# False negatives: 326
# False positives: 566
# True negatives: 4582
# True positives: 70
# False positive rate: 0.10994560994560995
# False negative rate: 0.8232323232323232
# True positive rate: 0.17676767676767677
# True negative rate: 0.89005439005439
# rejector with threshold: 2.0
