,circle,rectangle,no_shape,total,truth,accuracy
circle,265,0,5,270,270,98%
rectangle,0,916,3,919,920,99%
diamond,0,0,543,543,544,100%
ellipse,641,0,2,643,643,99%
parallelogram,0,0,863,863,865,99%
line,0,0,3182,3182,3234,100%
double circle,0,0,0,0,0,-
no_shape,0,0,107101,107101,379516,100%
total,906,916,111699,227042,385992,0
# dataset: ['./__datasets__/FC_1.0/no_text/no_junk/FC_Train.txt', './__datasets__/FC_1.0/no_text/no_junk/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# False negatives: 0.007563025210084007
# False positives: 0.712994972543977
# True negatives: 0.28220417584502366
# False positive rate: 0.7164344681143995
# False negative rate: 0.0261003494617242
# rejector with threshold: 0.9
