,circle,rectangle,no_shape,total,truth,accuracy
circle,269,0,1,270,270,99%
rectangle,0,919,0,919,920,99%
diamond,0,0,543,543,544,100%
ellipse,643,0,0,643,643,100%
parallelogram,0,0,863,863,865,99%
line,0,0,3182,3182,3234,100%
double circle,0,0,0,0,0,-
no_shape,0,0,107005,107005,379516,100%
total,912,919,111594,226850,385992,0
# dataset: ['./__datasets__/FC_1.0/no_text/no_junk/FC_Train.txt', './__datasets__/FC_1.0/no_text/no_junk/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# False negatives: 0.001680672268907557
# False positives: 0.7132242118909348
# True negatives: 0.28195122208286344
# False positive rate: 0.7166818909938176
# False negative rate: 0.005925540471210631
# rejector with threshold: 1.1
