,circle,rectangle,no_shape,total,truth,accuracy
circle,187,0,26,213,213,87%
rectangle,0,175,8,183,183,95%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,12,12,5148,100%
total,187,175,463,1650,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: one_class_svm
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_point
# False negatives: 34
# False positives: 5136
# True negatives: 12
# True positives: 362
# False positive rate: 0.9976689976689976
# False negative rate: 0.08585858585858586
# True positive rate: 0.9141414141414141
# True negative rate: 0.002331002331002331
# rejector with threshold: 0.5
