,circle,rectangle,no_shape,total,truth,accuracy
circle,31,0,689,720,720,4%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,2041,2041,2043,100%
double circle,0,0,340,340,342,100%
no_shape,0,0,663,663,53870,100%
total,31,0,3733,7528,56975,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: one_class_svm
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_point
# False negatives: 689
# False positives: 53207
# True negatives: 663
# True positives: 31
# False positive rate: 0.9876925932801188
# False negative rate: 0.9569444444444445
# True positive rate: 0.043055555555555555
# True negative rate: 0.012307406719881196
# rejector with threshold: 0.5
